minute,rmssd,coverage,hf,lf
2023-12-10T00:35:00.000,38.671,0.938,619.77,419.75
2023-12-10T00:40:00.000,37.505,1.002,419.606,1194.81
2023-12-10T00:45:00.000,43.925,1.004,752.77,420.049
2023-12-10T00:50:00.000,38.402,1.002,474.615,327.398
2023-12-10T00:55:00.000,39.909,0.87,673.004,320.103
2023-12-10T01:00:00.000,33.946,0.972,250.528,1534.531
2023-12-10T01:05:00.000,28.87,0.922,251.765,643.146
2023-12-10T01:10:00.000,28.93,0.995,248.352,576.11
2023-12-10T01:15:00.000,36.516,0.972,357.826,612.138
2023-12-10T01:20:00.000,37.576,1.005,626.651,688.24
2023-12-10T01:25:00.000,29.393,1.004,291.181,621.314
2023-12-10T01:50:00.000,37.083,0.776,539.933,962.227
2023-12-10T01:55:00.000,33.652,1.003,363.254,345.804
2023-12-10T02:00:00.000,36.06,1.004,493.889,351.968
2023-12-10T02:05:00.000,36.026,1.002,420.972,232.493
2023-12-10T02:10:00.000,38.114,1.002,565.557,410.527
2023-12-10T02:15:00.000,35.537,0.711,339.422,1058.507
2023-12-10T02:30:00.000,33.955,0.8220000000000001,221.559,609.703
2023-12-10T02:35:00.000,29.12,0.992,285.019,498.305
2023-12-10T02:40:00.000,35.494,0.905,309.373,1099.994
2023-12-10T02:45:00.000,26.427,0.981,126.359,631.599
2023-12-10T02:50:00.000,35.552,0.931,446.765,668.514
2023-12-10T02:55:00.000,34.694,0.973,401.047,589.569
2023-12-10T03:00:00.000,37.656,1.001,459.467,715.667
2023-12-10T03:05:00.000,40.254,0.983,537.925,234.451
2023-12-10T03:10:00.000,47.539,0.996,776.446,383.426
2023-12-10T03:15:00.000,51.701,0.938,799.51,552.213
2023-12-10T03:20:00.000,47.816,1.003,733.504,763.979
2023-12-10T03:25:00.000,49.094,1.003,723.117,545.348
2023-12-10T03:30:00.000,51.771,0.939,648.415,1082.283
2023-12-10T03:35:00.000,56.861,1.003,1228.713,1025.942
2023-12-10T03:40:00.000,55.114,0.995,1147.959,561.956
2023-12-10T03:45:00.000,56.659,1.0,1143.788,742.746
2023-12-10T03:50:00.000,51.447,1.005,889.543,546.1
2023-12-10T03:55:00.000,52.932,1.003,970.612,743.493
2023-12-10T04:00:00.000,54.658,0.787,708.215,1832.645
2023-12-10T04:05:00.000,54.868,0.971,840.146,1823.001
2023-12-10T04:10:00.000,61.64,0.729,790.679,1717.676
2023-12-10T04:15:00.000,83.232,0.725,2017.373,2514.357
2023-12-10T04:20:00.000,71.482,0.93,1477.402,3579.94
2023-12-10T04:25:00.000,65.197,0.95,1055.685,3777.188
2023-12-10T04:30:00.000,89.896,0.959,1791.706,1230.11
2023-12-10T04:35:00.000,34.184,1.005,237.807,636.721
2023-12-10T04:40:00.000,30.299,0.782,164.778,260.703
2023-12-10T05:05:00.000,69.567,0.953,1644.439,1486.753
